Fecha,Emision
Ene00,-796.1245
Feb00,-309.2238
Mar00,171.0196
Abr00,-81.5471
May00,115.986
Jun00,-34.3103
Jul00,667.9995
Ago00,-480.9944
Sep00,-266.664
Oct00,96.7468
Nov00,-34.1649
Dic00,717.9701
Ene01,-576.6863
Feb01,-105.9949
Mar01,4.952
Abr01,218.5675
May01,-214.4114
Jun01,53.017
Jul01,488.0636
Ago01,-317.7829
Sep01,-84.2387
Oct01,254.4951
Nov01,-42.705
Dic01,767.6264
Ene02,-476.4408
Feb02,38.2656
Mar02,112.4345
Abr02,-67.2665
May02,-5.3354
Jun02,197.6702
Jul02,719.0202
Ago02,-303.2162
Sep02,-258.1446
Oct02,60.4009
Nov02,-23.0544
Dic02,677.3488
Ene03,-621.1658
Feb03,-18.1752
Mar03,-68.5411
Abr03,185.302
May03,-69.3334
Jun03,104.2482
Jul03,521.7177
Ago03,-223.205
Sep03,-165.1692
Oct03,87.879
Nov03,179.846
Dic03,768.7719
Ene04,-478.7765
Feb04,46.1041
Mar04,46.6482
Abr04,313.2222
May04,53.1559
Jun04,54.6869
Jul04,741.0005
Ago04,-424.9922
Sep04,-74.7891
Oct04,349.7683
Nov04,49.9359
Dic04,1209.7549
Ene05,-623.3891
Feb05,177.2166
Mar05,-14.9272
Abr05,462.4137
May05,73.6984
Jun05,174.5423
Jul05,1158.8227
Ago05,-551.4642
Sep05,-14.2658
Oct05,123.7748
Nov05,74.6994
Dic05,1355.7571
Ene06,-842.2596
Feb06,36.7217
Mar06,92.2565
Abr06,29.1095
May06,-178.3827
Jun06,247.1194
Jul06,887.3364
Ago06,-508.2186
Sep06,98.5882
Oct06,94.7009
Nov06,302.2403
Dic06,1880.5174
Ene07,-936.5822
Feb07,192.9749
Mar07,172.7659
Abr07,257.7355
May07,59.8517
Jun07,404.8426
Jul07,742.8761
Ago07,118.5088
Sep07,-263.0378
Oct07,605.6279
Nov07,342.5482
Dic07,2217.6475
Ene08,-1056.9239
Feb08,1196.4901
Mar08,278.5348
Abr08,1678.6747
May08,787.358
Jun08,374.7031
Jul08,49.5516
Ago08,-369.2873
Sep08,-582.2915
Oct08,684.2579
Nov08,-858.025
Dic08,2348.2119
Ene09,-2121.6347
Feb09,-464.9737
Mar09,-226.9825
Abr09,0.2359
May09,-174.5697
Jun09,239.7821
Jul09,1561.4437
Ago09,-893.3563
Sep09,84.9568
Oct09,212.7682
Nov09,295.7196
Dic09,2724.1544
Ene10,-1504.0186
Feb10,-73.8698
Mar10,704.5269
Abr10,136.335
May10,269.8331
Jun10,566.1454
Jul10,2380.1977
Ago10,-376.2219
Sep10,38.427
Oct10,2052.8281
Nov10,262.9092
Dic10,6202.8122
Ene11,-3460.2133
Feb11,-184.1497
Mar11,-420.8733
Abr11,1353.8614
May11,-468.7219
Jun11,1559.187
Jul11,1457.4964
Ago11,-1115.4816
Sep11,1386.2971
Oct11,1248.5211
Nov11,-366.3502
Dic11,4769.6298
Ene12,-1999.1045
Feb12,1767.3005
Mar12,154.5696
Abr12,-187.6299
May12,2206.1176
Jun12,-1185.6401
Jul12,290.8861
Ago12,2024.7159
Sep12,4454.3101
Oct12,2387.8075
Nov12,-1042.2043
Dic12,3896.653517
Ene13,-1879.940837
Feb13,5449.487854
Mar13,-2050.239192
Abr13,-2011.18598
May13,2781.199042
Jun13,-2517.31393
Jul13,-1904.690305
Ago13,3635.652394
Sep13,-4216.414039
Oct13,2649.603534
Nov13,-33.621749
Dic13,-700.955605
Ene14,-1887.975205
Feb14,-1281.340711
Mar14,-2247.196887
Abr14,2005.723699
May14,-2229.953069
Jun14,481.509923000001
Jul14,1142.628794
Ago14,-21.481795
Sep14,-724.144497999999
Oct14,270.423628
Nov14,-9.49103500000047
Dic14,6429.711925
Ene15,-4476.65616
Feb15,-1642.058149
Mar15,150.204817
Abr15,-645.447331
May15,-785.441461
Jun15,-187.873148
Jul15,3824.866543
Ago15,-3331.149082
Sep15,-564.250999
Oct15,415.323476
Nov15,857.238309
Dic15,3811.709421
Ene16,-2734.337109
Feb16,-407.132281
Mar16,158.447919
Abr16,-15.535304
May16,-580.731974
Jun16,250.740213
Jul16,3082.919665
Ago16,-1735.827042
Sep16,813.513218
Oct16,-635.771241
Nov16,426.549251
Dic16,3460.523123
Ene17,-1748.162465
Feb17,-1536.493518
Mar17,227.721919
Abr17,-180.71081
May17,-117.456991
Jun17,1824.222336
Jul17,1755.828256
Ago17,-1681.441726
Sep17,370.96778
Oct17,596.31675
Nov17,266.442996
Dic17,4055.366793
Ene18,-2342.082569
Feb18,-452.339383
Mar18,1203.718245
Abr18,-823.76282
May18,-548.454682
Jun18,1346.716689
Jul18,1100.62735
Ago18,602.989161
Sep18,-1191.606493
Oct18,1590.781444
Nov18,-676.18173
Dic18,4349.287776
Ene19,-2944.793627
Feb19,-481.219873
Mar19,-97.931598
Abr19,591.259319
May19,-486.313234
Jun19,542.755769
Jul19,1588.279442
Ago19,291.362184
Sep19,-1265.194184
Oct19,1358.049086
Nov19,321.970533
Dic19,3779.399823
Ene20,-894.078737
Feb20,n.d.
Mar20,n.d.
Abr20,n.d.
May20,n.d.
Jun20,n.d.
Jul20,n.d.
Ago20,n.d.
Sep20,n.d.
Oct20,n.d.
Nov20,n.d.
Dic20,n.d.
